year,food_code,mod_code,method,method_description,nhanes,price_100gm
2015/2016,56207160,NA,2,Links to altEC,Base,0.110105
2015/2016,57000100,NA,1,Links to FNDDS,Extra,0.813834
2015/2016,57100100,NA,2,Links to altEC,Base,0.675319
2015/2016,57103000,NA,2,Links to altEC,Extra,0.778098
2015/2016,57103100,NA,2,Links to altEC,Base,0.691937
2015/2016,57104000,NA,2,Links to altEC,Base,0.742044
2015/2016,57117000,NA,2,Links to altEC,Base,0.58146
2015/2016,57119000,NA,2,Links to altEC,Base,0.611172
2015/2016,57123000,NA,2,Links to altEC,Base,0.74716
2015/2016,57124050,NA,2,Links to altEC,Extra,0.913451
2015/2016,57124100,NA,2,Links to altEC,Base,0.845557
2015/2016,57124200,NA,2,Links to altEC,Extra,0.494832
2015/2016,57124300,NA,2,Links to altEC,Base,0.762885
2015/2016,57125000,NA,2,Links to altEC,Base,0.692422
2015/2016,57125010,NA,2,Links to altEC,Extra,1.892637
2015/2016,57126000,NA,2,Links to altEC,Base,0.684692
2015/2016,57127000,NA,2,Links to altEC,Base,0.65568
2015/2016,57128000,NA,2,Links to altEC,Base,0.704336
2015/2016,57130000,NA,2,Links to altEC,Base,0.725224
2015/2016,57132000,NA,2,Links to altEC,Base,0.776043
2015/2016,57134000,NA,2,Links to altEC,Base,0.618931
2015/2016,57135000,NA,2,Links to altEC,Base,0.618931
2015/2016,57137000,NA,2,Links to altEC,Extra,0.865124
2015/2016,57143000,NA,2,Links to altEC,Extra,0.86877
2015/2016,57148000,NA,2,Links to altEC,Extra,0.944886
2015/2016,57148500,NA,1,Links to FNDDS,Extra,0.641435
2015/2016,57151000,NA,1,Links to FNDDS,Base,0.662642
2015/2016,57206700,NA,2,Links to altEC,Base,0.829727
2015/2016,57206710,NA,2,Links to altEC,Base,0.914522
2015/2016,57207000,NA,2,Links to altEC,Base,0.660739
2015/2016,57208000,NA,2,Links to altEC,Extra,0.692408
2015/2016,57213000,NA,2,Links to altEC,Base,0.726272
2015/2016,57213010,NA,2,Links to altEC,Extra,1.231152
2015/2016,57213850,NA,2,Links to altEC,Extra,0.873327
2015/2016,57214000,NA,2,Links to altEC,Base,0.572557
2015/2016,57218000,NA,2,Links to altEC,Base,0.830787
2015/2016,57221700,NA,1,Links to FNDDS,Extra,0.434139
2015/2016,57223000,NA,2,Links to altEC,Base,0.649123
2015/2016,57224000,NA,2,Links to altEC,Base,0.685337
2015/2016,57227000,NA,1,Links to FNDDS,Base,0.937887
2015/2016,57228000,NA,2,Links to altEC,Base,0.937887
2015/2016,57230000,NA,2,Links to altEC,Base,0.573671
2015/2016,57231200,NA,2,Links to altEC,Base,0.731314
2015/2016,57237100,NA,2,Links to altEC,Base,0.634298
2015/2016,57237200,NA,2,Links to altEC,Extra,0.594304
2015/2016,57237300,NA,2,Links to altEC,Base,0.594304
2015/2016,57238000,NA,2,Links to altEC,Base,0.502146
2015/2016,57240100,NA,2,Links to altEC,Base,1.068825
2015/2016,57241000,NA,2,Links to altEC,Base,0.669308
2015/2016,57243000,NA,2,Links to altEC,Base,0.710615
2015/2016,57301500,NA,2,Links to altEC,Extra,1.304361
2015/2016,57301510,NA,2,Links to altEC,Base,0.842716
2015/2016,57301511,NA,2,Links to altEC,Extra,0.793658
2015/2016,57301530,NA,2,Links to altEC,Extra,0.934093
2015/2016,57303100,NA,2,Links to altEC,Base,0.865124
2015/2016,57303105,NA,2,Links to altEC,Extra,0.976945
2015/2016,57303200,NA,1,Links to FNDDS,Extra,0.888869
2015/2016,57304100,NA,2,Links to altEC,Base,0.617661
2015/2016,57305100,NA,2,Links to altEC,Base,0.731447
2015/2016,57305165,NA,2,Links to altEC,Base,0.529071
2015/2016,57305170,NA,2,Links to altEC,Extra,0.528697
2015/2016,57305174,NA,1,Links to FNDDS,Extra,0.477928
2015/2016,57305175,NA,2,Links to altEC,Extra,0.528656
2015/2016,57305200,NA,1,Links to FNDDS,Extra,0.494979
2015/2016,57305210,NA,2,Links to altEC,Extra,0.444712
2015/2016,57305300,NA,2,Links to altEC,Extra,0.537455
2015/2016,57305400,NA,1,Links to FNDDS,Extra,0.573384
2015/2016,57305500,NA,1,Links to FNDDS,Base,0.534255
2015/2016,57306500,NA,1,Links to FNDDS,Base,0.471229
2015/2016,57306800,NA,2,Links to altEC,Extra,0.539426
2015/2016,57307500,NA,1,Links to FNDDS,Extra,1.232713
2015/2016,57308190,NA,1,Links to FNDDS,Extra,0.823668
2015/2016,57308400,NA,2,Links to altEC,Base,0.887148
2015/2016,57309100,NA,2,Links to altEC,Base,1.128205
2015/2016,57316380,NA,2,Links to altEC,Base,0.669308
2015/2016,57316385,NA,1,Links to FNDDS,Extra,0.847441
2015/2016,57316450,NA,2,Links to altEC,Extra,0.783029
2015/2016,57316710,NA,2,Links to altEC,Extra,0.75762
2015/2016,57320500,NA,2,Links to altEC,Base,0.666732
2015/2016,57321900,NA,2,Links to altEC,Base,0.921312
2015/2016,57327500,NA,2,Links to altEC,Base,0.741306
2015/2016,57329000,NA,2,Links to altEC,Base,0.540019
2015/2016,57330000,NA,2,Links to altEC,Base,0.542057
2015/2016,57330010,NA,2,Links to altEC,Extra,0.572166
2015/2016,57332100,NA,2,Links to altEC,Extra,0.795127
2015/2016,57335550,NA,2,Links to altEC,Base,0.663958
2015/2016,57336000,NA,2,Links to altEC,Base,0.835428
