parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
75214032,"Cauliflower, cooked, from frozen, made with margarine",4613.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75214032,"Cauliflower, cooked, from frozen, made with margarine",4694.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.6698499999999998
75214032,"Cauliflower, cooked, from frozen, made with margarine",11138.0,"Cauliflower, frozen, cooked, boiled, drained, without salt",180.0
75214033,"Cauliflower, cooked, from canned, made with oil",2047.0,"Salt, table",1.0
75214033,"Cauliflower, cooked, from canned, made with oil",4322.0,"Vegetable oil, averaged",4.542
75214033,"Cauliflower, cooked, from canned, made with oil",11138.0,"Cauliflower, frozen, cooked, boiled, drained, without salt",180.0
75214034,"Cauliflower, cooked, from canned, made with butter",1001.0,"Butter, salted",4.729
75214034,"Cauliflower, cooked, from canned, made with butter",2047.0,"Salt, table",1.0
75214034,"Cauliflower, cooked, from canned, made with butter",11138.0,"Cauliflower, frozen, cooked, boiled, drained, without salt",180.0
75214035,"Cauliflower, cooked, from canned, made with margarine",2047.0,"Salt, table",1.0
75214035,"Cauliflower, cooked, from canned, made with margarine",4613.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75214035,"Cauliflower, cooked, from canned, made with margarine",4694.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.6698499999999998
75214035,"Cauliflower, cooked, from canned, made with margarine",11138.0,"Cauliflower, frozen, cooked, boiled, drained, without salt",180.0
75215000,"Celery, cooked, NS as to fat added in cooking",2047.0,"Salt, table",1.0
75215000,"Celery, cooked, NS as to fat added in cooking",4323.0,"Table fat, averaged",4.729
75215000,"Celery, cooked, NS as to fat added in cooking",11144.0,"Celery, cooked, boiled, drained, without salt",150.0
75215010,"Celery, cooked, fat not added in cooking",2047.0,"Salt, table",1.0
75215010,"Celery, cooked, fat not added in cooking",11144.0,"Celery, cooked, boiled, drained, without salt",150.0
75215030,"Celery, cooked, made with oil",2047.0,"Salt, table",1.0
75215030,"Celery, cooked, made with oil",4322.0,"Vegetable oil, averaged",4.542
75215030,"Celery, cooked, made with oil",11144.0,"Celery, cooked, boiled, drained, without salt",150.0
75215040,"Celery, cooked, made with butter",1001.0,"Butter, salted",4.729
75215040,"Celery, cooked, made with butter",2047.0,"Salt, table",1.0
75215040,"Celery, cooked, made with butter",11144.0,"Celery, cooked, boiled, drained, without salt",150.0
75215050,"Celery, cooked, made with margarine",2047.0,"Salt, table",1.0
75215050,"Celery, cooked, made with margarine",4613.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75215050,"Celery, cooked, made with margarine",4694.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.6698499999999998
75215050,"Celery, cooked, made with margarine",11144.0,"Celery, cooked, boiled, drained, without salt",150.0
75215100,"Fennel bulb, cooked, NS as to fat added in cooking",2047.0,"Salt, table",0.6
75215100,"Fennel bulb, cooked, NS as to fat added in cooking",4323.0,"Table fat, averaged",3.2
75215100,"Fennel bulb, cooked, NS as to fat added in cooking",11957.0,"Fennel, bulb, raw",100.0
75215110,"Fennel bulb, cooked, fat not added in cooking",2047.0,"Salt, table",0.6
75215110,"Fennel bulb, cooked, fat not added in cooking",11957.0,"Fennel, bulb, raw",100.0
75215121,"Fennel bulb, cooked, made with oil",2047.0,"Salt, table",0.6
75215121,"Fennel bulb, cooked, made with oil",4322.0,"Vegetable oil, averaged",3.2
75215121,"Fennel bulb, cooked, made with oil",11957.0,"Fennel, bulb, raw",100.0
75215122,"Fennel bulb, cooked, made with butter",1001.0,"Butter, salted",3.2
75215122,"Fennel bulb, cooked, made with butter",2047.0,"Salt, table",0.6
75215122,"Fennel bulb, cooked, made with butter",11957.0,"Fennel, bulb, raw",100.0
75215123,"Fennel bulb, cooked, made with margarine",2047.0,"Salt, table",0.6
75215123,"Fennel bulb, cooked, made with margarine",4613.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",2.08
75215123,"Fennel bulb, cooked, made with margarine",4694.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.12
75215123,"Fennel bulb, cooked, made with margarine",11957.0,"Fennel, bulb, raw",100.0
75215509,"Christophine, cooked, NS as to fat added in cooking",2047.0,"Salt, table",1.0
